CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
921399,2025-00009722,2025-02-09,2:57:00 PM,Vehicle - Vehicle,,355 RESERVOIR AVE,PONTIAC AVE,Andrew Mitura,605,2025-02-14,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,3,0,No Injury,2,,41.78825,-71.43143
922207,2025-00017395,2025-02-09,3:00:00 PM,Vehicle - Vehicle,,BOWEN ST,THAYER ST,Jared Guiot,608,2025-03-12,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Side,No,No Controls,2,0,No Injury,2,,41.83082,-71.40129
922007,2025-00015808,2025-02-08,7:30:00 PM,Vehicle - Vehicle,,1 PROVIDENCE PL,,Quincy Griffin,970,2025-03-07,One-Way Trafficway,Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,Unknown,2,,,
921349,2025-00010447,2025-02-08,7:47:00 PM,Vehicle - Parked Vehicle,,LENOX AVE,HAMILTON ST,Jason Clancy,999,2025-02-13,Unknown,Snow,Dark - Unknown Lighting,Snow,Rear - to - Rear,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.79674,-71.41981
921501,2025-00009545,2025-02-08,5:08:00 PM,Vehicle - Vehicle,,Union Ave,LINWOOD AVE,Stephen Noti,119,2025-02-19,"Two-Way , Not Divided",Dry,Dark - Lighted,Cloudy,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.80892,-71.43964
921247,2025-00009503,2025-02-08,1:30:00 PM,Vehicle - Vehicle,,127 PARADE ST,CRANSTON ST,Quincy Griffin,970,2025-02-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,2,0,Unknown,2,,41.81174,-71.43101
921290,2025-00009942,2025-02-08,1:45:00 PM,Vehicle - Vehicle,,SOUTH MAIN ST,,Jason Clancy,999,2025-02-11,Unknown,Dry,Daylight,Clear,Unknown,No,Unknown,2,0,Unknown,2,,,
921325,2025-00009501,2025-02-08,1:50:00 PM,Vehicle - Parked Vehicle,,CHESTER AVE,MOUNT VERNON ST,Victor Tavarez,564,2025-02-12,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.80686,-71.41726
921344,2025-00009489,2025-02-08,1:00:00 PM,Vehicle - Vehicle,,ATLANTIC AVE,MELROSE ST,Gustavo Genao,135,2025-02-13,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction",No,Stop Signs,6,0,No Injury,2,,41.79746,-71.42235
921311,2025-00009567,2025-02-08,6:26:00 PM,Vehicle - Vehicle,,BROAD ST,,Jason Clancy,999,2025-02-12,Unknown,Dry,Dark - Unknown Lighting,Clear,Unknown,No,Unknown,3,0,Unknown,2,,,
921308,2025-00009614,2025-02-08,10:39:00 PM,Vehicle - Vehicle,,BROADWAY,BRADFORD ST,Elijah Perry,618,2025-02-12,"Two-Way , Not Divided",Snow,Dark - Lighted,Snow,Rear - to - Side,No,No Controls,4,0,No Injury,2,,41.82149,-71.42217
921230,2025-00009396,2025-02-08,1:10:00 AM,Vehicle - Vehicle,,THURBERS AVE,EDDY ST,Domenic Schiavulli,653,2025-02-09,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,No,Traffic Control Signal,3,0,No Injury,2,,41.79994,-71.40584
921231,2025-00009617,2025-02-08,11:08:00 PM,Vehicle - Vehicle,,CHALKSTONE AVE,DOUGLAS AVE,Matthew Lombardi,674,2025-02-09,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Snow,Dark - Lighted,Snow,Rear End(Front-to-Rear),No,Traffic Control Signal,3,1,Complains Of Pain,2,,41.83631,-71.42024
921212,2025-00009456,2025-02-08,9:51:00 AM,Vehicle - Object,,PITMAN ST,GANO ST,Joshua Cascione,225,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,1,Complains Of Pain,1,,41.82661,-71.38971
921240,2025-00009597,2025-02-08,9:02:00 PM,Vehicle - Vehicle,,RUGGLES STREET,CHALKSTONE AVE,Ryan Fernandes,125,2025-02-09,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.83533,-71.4282
921245,2025-00009601,2025-02-08,8:19:00 PM,Vehicle - Vehicle,,PLEASANT VALLEY PKWY,PLEASANT VALLEY PKWY,Quincy Griffin,970,2025-02-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.83534,-71.43854
921201,2025-00009436,2025-02-08,4:31:00 AM,Vehicle - Vehicle,,OHIO AVE,VIRGINIA AVE,Thomas O'Mara,650,2025-02-08,"Two-Way , Not Divided",Dry,Dark - Not Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,6,0,No Injury,2,,41.78931,-71.39936
921203,2025-00009382,2025-02-08,12:12:00 AM,Vehicle - Vehicle,,BRANCH AVE EXIT,BRANCH AVE,Aidan Pendergast,651,2025-02-08,One-Way Trafficway,Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,2,0,No Injury,2,,41.85252,-71.42536
921209,2025-00009437,2025-02-08,5:09:00 AM,Vehicle - Object,,SILVER LAKE AVENUE,FARMINGTON AVE,Ryan Whittemore,655,2025-02-08,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,0,Unknown,1,,41.80657,-71.46266
921214,2025-00009469,2025-02-08,11:04:00 AM,Vehicle - Vehicle,,PROMENADE ST,DEAN ST,Kyana Williams,426,2025-02-08,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,3,1,Complains Of Pain,2,,41.82912,-71.42731
921215,2025-00009468,2025-02-08,10:58:00 AM,Vehicle - Parked Vehicle,,CYPRESS ST,KNOWLES ST,Jessica Salmeron,356,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,2,41.84212,-71.40568
921216,2025-00009458,2025-02-08,10:35:00 AM,Vehicle - Parked Vehicle,,CHALKSTONE AVE,FALLON AVE,Elizabeth Pedchenko,498,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.83235,-71.44375
921218,2025-00009506,2025-02-08,1:59:00 PM,Vehicle - Vehicle,,WESTERLY AVE,POCASSET AVE,Colby Berciano,671,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.80883,-71.45537
921219,2025-00009538,2025-02-08,4:38:00 PM,Vehicle - Parked Vehicle,,STAMFORD AVE,ELMWOOD AVE,Thomas Jones,160,2025-02-08,"Two-Way , Not Divided",Dry,Dusk,Cloudy,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.78127,-71.41946
921220,2025-00009559,2025-02-08,5:51:00 PM,Vehicle - Vehicle,,STONE STREET,ASCHAM ST,Ian Quinn,102,2025-02-08,"Two-Way , Not Divided",Dry,Unknown,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,1,41.8503,-71.41843
921223,2025-00009575,2025-02-08,6:56:00 PM,Vehicle - Vehicle,,FRANCIS ST,GASPEE ST,Christian Main,145,2025-02-08,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,No,Traffic Control Signal,5,0,No Injury,2,2,,
921224,2025-00009512,2025-02-08,2:51:00 PM,Vehicle - Vehicle,,OLNEYVILLE SQ,LIBRARY CT,Raymond Criner,340,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Pavement Markings,3,1,Complains Of Pain,2,,41.81673,-71.44367
921225,2025-00009556,2025-02-08,5:36:00 PM,Vehicle - Parked Vehicle,,MATTIE ST,MELISSA ST,Alexander Frias,669,2025-02-08,"Two-Way , Not Divided",Ice/Frost,Dark - Not Lighted,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.82144,-71.4598
921226,2025-00009620,2025-02-08,11:04:00 PM,Vehicle - Vehicle,,DEAN ST,PROMENADE ST,Ralph Abenante,511,2025-02-08,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Snow,Dark - Lighted,Snow,Rear End(Front-to-Rear),No,Traffic Control Signal,3,1,Complains Of Pain,2,,41.82926,-71.42661
921227,2025-00009470,2025-02-08,11:13:00 AM,Vehicle - Vehicle,,CHARLES ST,CHARLES ST,Lucas Ramalho,507,2025-02-08,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.85326,-71.42045
921228,2025-00009457,2025-02-08,10:02:00 AM,Vehicle - Vehicle,,BRANCH AVE,W RIVER ST,Lucas Ramalho,507,2025-02-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,2,1,Complains Of Pain,2,,41.84674,-71.41237
921222,2025-00009287,2025-02-07,5:07:00 PM,Vehicle - Vehicle,,POINT ST,PLAIN ST,Ptlw. Martinez,146,2025-02-08,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Traffic Control Signal,3,0,No Injury,2,,,
921217,2025-00009346,2025-02-07,9:22:00 PM,Vehicle - Vehicle,,BROAD ST,CAHIR ST,Stephanie Teran,625,2025-02-08,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,6,0,No Injury,2,,41.81684,-71.41811
921207,2025-00009360,2025-02-07,11:20:00 PM,Vehicle - Vehicle,,113 Broadway,Service 7 Rd,Alexis Rosales,682,2025-02-08,One-Way Trafficway,Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,3,,
921246,2025-00009536,2025-02-07,8:04:00 AM,Vehicle - Vehicle,,JEFFERSON ST,COMMON ST,Quincy Griffin,970,2025-02-10,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.83389,-71.41738
921213,2025-00009159,2025-02-07,9:26:00 AM,Vehicle - Parked Vehicle,,NORWICH AVE,BAXTER ST,Victor Tavarez,564,2025-02-08,One-Way Trafficway,Ice/Frost,Daylight,Clear,Angle (Front - to - Side) Same Direction,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.80228,-71.41812
921178,2025-00009128,2025-02-07,6:20:00 AM,Vehicle - Object,,THURBERS AVE,I 95,Thomas O'Mara,650,2025-02-07,One-Way Trafficway,Wet,Dawn,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,0,No Injury,1,,41.8003,-71.40387
921182,2025-00009140,2025-02-07,7:53:00 AM,Vehicle - Vehicle,,HARTFORD AVENUE,EDNA ST,Patrolwoman Addai,513,2025-02-07,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,No,Unknown,4,0,No Injury,2,2,41.81685,-71.44555
921183,2025-00009133,2025-02-07,7:26:00 AM,Vehicle - Parked Vehicle,,BOUNDARY AVE,MYRA ST,Damaris Sanchez,566,2025-02-07,"Two-Way , Not Divided",Ice/Frost,Daylight,Clear,"Sidwswipe, Opposite Direction",No,No Controls,19,0,No Injury,2,,41.81641,-71.46759
921184,2025-00009158,2025-02-07,9:34:00 AM,Vehicle - Vehicle,,HARTFORD AVENUE,PONAGANSETT AVENUE,Patrolwoman Addai,513,2025-02-07,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Clear,"Sidwswipe, Opposite Direction",No,No Controls,4,0,No Injury,2,2,41.81858,-71.45876
921186,2025-00009153,2025-02-07,9:12:00 AM,Vehicle - Vehicle,,THAYER STREET,LLOYD AVE,George Pereira,421,2025-02-07,One-Way Trafficway,Dry,Daylight,Clear,Rear - to - Side,No,No Controls,3,0,No Injury,2,,41.83154,-71.40109
921187,2025-00009184,2025-02-07,11:12:00 AM,Vehicle - Vehicle,,ATWELLS AVE,CUTLER ST,Joel Ikuejamofo,143,2025-02-07,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,4,0,No Injury,2,,41.82468,-71.44157
921188,2025-00009222,2025-02-07,1:21:00 PM,Vehicle - Vehicle,,VALLEY ST,DELAINE ST,Joel Ikuejamofo,143,2025-02-07,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Stop Signs,3,0,No Injury,2,,41.81951,-71.4405
921191,2025-00009205,2025-02-07,12:21:00 PM,Vehicle - Pedestrian,Pedestrian,CHARLES ST,SOCIAL ST,Joshua Cascione,225,2025-02-07,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Fatal,1,,41.85378,-71.42052
921192,2025-00009267,2025-02-07,3:48:00 PM,Vehicle - Parked Vehicle,,Westminster St,MATHEWSON ST,Matthew Kelley,186,2025-02-07,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.82223,-71.41356
921193,2025-00009266,2025-02-07,3:43:00 PM,Vehicle - Vehicle,,BRANCH AVE,DRYDEN LN,Colby Berciano,671,2025-02-07,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Flashing Traffic Control Signal,6,0,No Injury,2,,41.84278,-71.40841
921196,2025-00009255,2025-02-07,3:10:00 PM,Vehicle - Parked Vehicle,,BEL AIR DR,WOONASQUATUCKET AVE,Robert Gaudiana,579,2025-02-07,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.83699,-71.47023
921197,2025-00009278,2025-02-07,4:31:00 PM,Vehicle - Object,,FRIENDSHIP ST,PEARL ST,Raymond Criner,340,2025-02-07,One-Way Trafficway,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Complains Of Pain,1,,41.81315,-71.41789
921198,2025-00009286,2025-02-07,5:07:00 PM,Vehicle - Parked Vehicle,,MURRAY ST,POCASSET AVE,Alexander Frias,669,2025-02-07,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.80751,-71.45636
921199,2025-00009348,2025-02-07,9:29:00 PM,Vehicle - Parked Vehicle,,RING ST,COURTLAND ST,Cory Nicholls,609,2025-02-07,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,Stop Signs,3,0,No Injury,2,,41.82068,-71.43177
921200,2025-00009338,2025-02-07,8:14:00 PM,Vehicle - Vehicle,,SMITH ST,WYNDHAM AVE,Ryan Fernandes,125,2025-02-07,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,5,0,No Injury,2,,41.83968,-71.43824
921323,2025-00009237,2025-02-07,2:23:00 PM,Vehicle - Vehicle,,NIAGARA ST,LEXINGTON AVE,Gustavo Genao,135,2025-02-12,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,2,2,Complains Of Pain,2,,41.79926,-71.419
921254,2025-00009164,2025-02-07,9:34:00 AM,Vehicle - Parked Vehicle,,BALCOM ST,SACKETT ST,Gustavo Genao,135,2025-02-10,"Two-Way , Not Divided",Wet,Daylight,Clear,Rear - to - Side,No,No Controls,2,0,No Injury,2,,41.79524,-71.41355
921266,2025-00009274,2025-02-07,4:12:00 PM,Vehicle - Vehicle,,KILLINGLY ST,KILLINGLY ST,Jeffrey Gagnon,317,2025-02-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,,41.82077,-71.46943
921354,2025-00009163,2025-02-07,9:36:00 AM,Vehicle - Vehicle,,BROAD ST,SERVICE ROAD 8,Michael Baldassare,568,2025-02-13,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.81783,-71.41641
922978,2025-00009177,2025-02-07,10:45:00 AM,Vehicle - Vehicle,,N MAIN ST,CYPRESS ST,Albert Pereira,111,2025-04-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,2,0,No Injury,2,,41.8417,-71.40797
921180,2025-00008987,2025-02-06,9:40:00 AM,Vehicle - Vehicle,,WYNDHAM AVE,SMITH ST,Jason Clancy,999,2025-02-07,Unknown,Snow,Daylight,Snow,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.83966,-71.43825
921161,2025-00008917,2025-02-06,8:57:00 AM,Vehicle - Object,,BURNS ST,BRANCH AVE,Christopher Hines,537,2025-02-06,"Two-Way , Not Divided",Snow,Daylight,Snow,Not a Collision Between Two Motor Vehicles in Transport,No,Stop Signs,1,0,No Injury,1,,41.85535,-71.44115
921167,2025-00008953,2025-02-06,11:03:00 AM,Vehicle - Parked Vehicle,,WICKHAM ST,LOCKWOOD ST,Hansel Ventura,570,2025-02-06,Unknown,Snow,Daylight,Snow,Other,No,No Controls,2,0,No Injury,2,,41.81583,-71.41999
921168,2025-00008977,2025-02-06,1:07:00 PM,Vehicle - Vehicle,,LOWELL AVENUE,HARLAM STREET,Patrolwoman Addai,513,2025-02-06,One-Way Trafficway,Snow,Daylight,Snow,Angle (Front - to - Side) Opposite Direction,No,No Controls,3,0,No Injury,2,1,,
921170,2025-00009003,2025-02-06,3:25:00 PM,Vehicle - Vehicle,,HAGAN ST,HAGAN ST,Ptlm. Labutti,104,2025-02-06,"Two-Way , Not Divided",Wet,Dusk,Rain,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,2,,41.85707,-71.42112
921171,2025-00009010,2025-02-06,3:56:00 PM,Vehicle - Parked Vehicle,,BRANCH AVE,OPPER ST,Ptlm. Labutti,104,2025-02-06,"Two-Way , Not Divided",Wet,Dusk,Rain,Rear End(Front-to-Rear),No,Traffic Control Signal,3,0,No Injury,2,,41.85173,-71.42336
921172,2025-00009012,2025-02-06,4:02:00 PM,Vehicle - Vehicle,,PUTNAM ST,ATWELLS AVE,Matthew Carlone,602,2025-02-06,"Two-Way , Not Divided",Slush,Daylight,Rain,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.82476,-71.44373
921173,2025-00009017,2025-02-06,3:52:00 PM,Vehicle - Parked Vehicle,,STERLING AVE,BANCROFT ST,Matthew LeClerc,180,2025-02-06,"Two-Way , Not Divided",Slush,Daylight,Rain,Rear - to - Side,No,No Controls,5,0,No Injury,2,2,41.81143,-71.44636
921174,2025-00009021,2025-02-06,3:54:00 PM,Vehicle - Vehicle,,DEWEY ST,WHITTIER AVE,Marco Figueroa,110,2025-02-06,"Two-Way , Not Divided",Wet,Daylight,Snow,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,2,0,No Injury,2,,41.81424,-71.45242
921175,2025-00009047,2025-02-06,6:46:00 PM,Vehicle - Object,,BARSTOW ST,VALLEY ST,Tyler Calandra,418,2025-02-06,"Two-Way , Not Divided",Ice/Frost,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,1,,41.82401,-71.43997
921176,2025-00006384,2025-02-06,8:48:00 PM,Vehicle - Vehicle,,UNION AVE,UNION AVE EXIT,Nathaniel Eastman,112,2025-02-06,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,Traffic Control Signal,2,0,No Injury,2,,41.80854,-71.44118
921177,2025-00009071,2025-02-06,9:20:00 PM,Vehicle - Pedestrian,Scooter,BROAD ST,LAURA ST,Tyler Calandra,418,2025-02-06,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Head-On (Front - to - Front),"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,1,,41.80232,-71.41871
921235,2025-00008925,2025-02-06,9:20:00 AM,Vehicle - Vehicle,,POINT ST,EDDY ST,Lucio Andreozzi,381,2025-02-09,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Slush,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,4,0,No Injury,2,,41.81726,-71.40528
921163,2025-00008941,2025-02-06,10:06:00 AM,Vehicle - Vehicle,,195 COLLYER STREET,SMITHFIELD AVENUE,Joseph Madeira,552,2025-02-06,"Two-Way , Not Divided",Snow,Daylight,Snow,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,2,41.83616,-71.41597
921164,2025-00008952,2025-02-06,11:02:00 AM,Vehicle - Vehicle,,WEYBOSSET ST,DORRANCE ST,Victor Tavarez,564,2025-02-06,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Snow,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,3,0,No Injury,3,,41.82307,-71.41098
921165,2025-00008964,2025-02-06,12:24:00 PM,Vehicle - Object,,1917 WESTMINSTER ST,,Raleek Byfield,375,2025-02-06,"Two-Way , Not Divided",Snow,Daylight,Snow,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,1,Complains Of Pain,1,,,
926025,2025-00008728,2025-02-05,12:58:00 PM,Vehicle - Parked Vehicle,,MANTON AVE,FRUIT HILL,Kyana Williams,426,2025-07-14,"Two-Way , Not Divided",Dry,Unknown,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.823,-71.46321
921156,2025-00008818,2025-02-05,3:00:00 PM,Vehicle - Parked Vehicle,,PLAINFIELD ST,ALVERSON AVE,Jason Clancy,999,2025-02-06,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.81283,-71.45801
921157,2025-00008842,2025-02-05,8:30:00 PM,Vehicle - Vehicle,,MEMORIAL BLVD,FRANCIS ST,Jason Clancy,999,2025-02-06,Unknown,Dry,Dark - Unknown Lighting,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.82591,-71.4153
921159,2025-00008807,2025-02-05,12:30:00 PM,Vehicle - Parked Vehicle,,CARPENTER ST,KNIGHT ST,Jason Clancy,999,2025-02-06,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.81825,-71.42749
921160,2025-00008738,2025-02-05,1:26:00 PM,Vehicle - Vehicle,,934 BROAD ST,,Jason Clancy,,2025-02-06,Unknown,Dry,Daylight,Clear,Rear - to - Rear,No,No Controls,1,0,Unknown,2,,,
921143,2025-00008751,2025-02-05,2:13:00 PM,Vehicle - Parked Vehicle,,FAIRMOUNT AVE,MOUNT PLEASANT AVE,Kyana Williams,426,2025-02-05,"Two-Way , Not Divided",Slush,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82645,-71.4488
921144,2025-00008723,2025-02-05,12:25:00 PM,Vehicle - Vehicle,,TRAVERSE ST,WICKENDEN ST,Jeann Lugo,543,2025-02-05,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,2,,41.81958,-71.39972
921145,2025-00008771,2025-02-05,3:28:00 PM,Vehicle - Parked Vehicle,,700 HARTFORD AVE,,Matthew LeClerc,180,2025-02-05,Unknown,Dry,Daylight,Clear,Rear - to - Side,No,No Controls,2,0,No Injury,2,,,
921146,2025-00008776,2025-02-05,3:47:00 PM,Vehicle - Parked Vehicle,,SUMMER Street,MEADOW ST,Manuel Tueros,621,2025-02-05,One-Way Trafficway,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.81513,-71.41816
921147,2025-00008806,2025-02-05,6:04:00 PM,Vehicle - Vehicle,,SILVER SPRING ST,BRANCH AVE,John Palmer,101,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Traffic Control Signal,2,0,No Injury,2,,41.84792,-71.41466
921149,2025-00008820,2025-02-05,6:46:00 PM,Vehicle - Parked Vehicle,,460 CHARLES ST,,Ptlm. Labutti,104,2025-02-05,Unknown,Dry,Dark - Lighted,Clear,Rear - to - Side,"Yes, Driver Left Scene",No Controls,1,0,No Injury,2,,,
921151,2025-00008790,2025-02-05,4:48:00 PM,Vehicle - Vehicle,,CHARLES ST,CORLISS ST,Jared Guiot,608,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.83793,-71.41436
921152,2025-00008793,2025-02-05,5:17:00 PM,Vehicle - Vehicle,,PRAIRIE AVE,THURBERS AVE,Manuel Tueros,621,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Not Lighted,Clear,Angle (Front - to - Side) Opposite Direction,No,Traffic Control Signal,3,0,No Injury,2,,41.799,-71.41202
921153,2025-00008838,2025-02-05,9:02:00 PM,Vehicle - Vehicle,,VEAZIE ST,ONEIL ST,Raymond Criner,340,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,Pavement Markings,4,1,Complains Of Pain,2,,41.85305,-71.43522
921131,2025-00008384,2025-02-05,3:36:00 AM,Vehicle - Object,,BRIDGHAM ST,KENDALL ST,OFFICER Sesay,612,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,0,No Injury,1,,41.81275,-71.42563
921132,2025-00008613,2025-02-05,12:42:00 AM,Vehicle - Parked Vehicle,,valley st,DELAINE ST,Cesar Franco,668,2025-02-05,Unknown,Dry,Dark - Lighted,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.81951,-71.4405
921133,2025-00008622,2025-02-05,2:00:00 AM,Vehicle - Parked Vehicle,,MESSER ST,CHAPIN AVE,Peyton Ginolfi,657,2025-02-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,"Yes, Driver Left Scene",No Controls,1,0,Unknown,2,,41.81201,-71.43577
921135,2025-00008641,2025-02-05,7:05:00 AM,Vehicle - Vehicle,,WESTMINSTER ST,DORRANCE ST,Ptlw. Kawejsza,118,2025-02-05,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction",No,Traffic Control Signal,4,0,No Injury,2,,41.82361,-71.41167
